Classement;Equipe;Score total;Points precedents;+/-;Champion;Finaliste;2014;2010;2006;2002;1998;1994;1990;1986;1982;1978;2018;2022
1;Allemagne;1533(1532.68);1609;0;4;4;1;3;3;2;;;1;2;2;;0;0
2;Bresil;1384(1384.24);1489;0;5;2;4;;;1;2;1;;;;3;0;0
3;Belgique;1346(1345.65);1337;2;;;;;;;;;;4;;;0;0
4;Portugal;1306(1306.35);1360;-1;;;;;4;;;;;;;;0;0
5;Argentine;1254(1253.61);1359;-1;2;3;2;;;;;;2;1;;1;0;0
6;Suisse;1179(1179.21);1197;2;;;;;;;;;;;;;0;0
7;France;1166(1166.42);1185;2;1;1;;;2;;1;;;3;4;;0;0
8;Espagne;1162(1161.59);1228;-2;1;0;;1;;;;;;;;;0;0
9;Chili;1146(1145.74);1161;1;;;;;;;;;;;;;0;0
10;Pologne;1118(1117.94);1228;-4;;;;;;;;;;;3;;0;0
11;Perou;1106(1106.39);1128;0;;;;;;;;;;;;;0;0
12;Danemark;1054(1053.7);1108;0;;;;;;;;;;;;;0;0
13;Angleterre;1040(1040.33);1047;3;1;0;;;;;;;4;;;;0;0
14;Tunisie;1012(1012.15);920;9;;;;;;;;;;;;;0;0
15;Mexique;1008(1007.66);1038;2;;;;;;;;;;;;;0;0
16;Colombie;989(988.57);1106;-3;;;;;;;;;;;;;0;0
17;Uruguay;976(976.5);931;5;2;0;;4;;;;;;;;;0;0
18;Croatie;975(975.17);1053;-3;;;;;;;3;;;;;;0;0
19;Pays-Bas;969(968.59);964;2;;3;3;2;;;4;;;;;2;0;0
20;Italie;947(947.03);1062;-6;4;2;;;1;;;2;3;;1;4;0;0
21;Pays de Galles;931(931.37);984;-1;;;;;;;;;;;;;0;0
22;Islande;930(930.22);1026;-4;;;;;;;;;;;;;0;0
23;Suede;889(889.48);1002;-4;;1;;;;;;3;;;;;0;0
24;USA;880(879.64);876;1;;;;;;;;;;;;;0;0
25;Costa Rica;858(858.02);872;1;;;;;;;;;;;;;0;0
26;Autriche;841(840.97);826;2;;;;;;;;;;;;;0;0
27;Irlande du Nord;837(837.28);879;-3;;;;;;;;;;;;;0;0
28;Senegal;825(825.44);862;-1;;;;;;;;;;;;;0;0
29;Slovaquie;786(785.86);822;0;;;;;;;;;;;;;0;0
30;Ukraine;777(777.1);778;5;;;;;;;;;;;;;0;0
31;Republique d'Irlande;776(775.75);804;0;;;;;;;;;;;;;0;0
32;Roumanie;737(737.4);749;4;;;;;;;;;;;;;0;0
32;Paraguay;737(736.92);816;-2;;;;;;;;;;;;;0;0
34;Ecosse;735(734.82);797;-2;;;;;;;;;;;;;0;0
35;Serbie;732(731.75);780;-1;;;;;;;;;;;;;0;0
36;Iran;727(726.92);792;-3;;;;;;;;;;;;;0;0
37;Turquie;714(714.12);730;1;;;;;;3;;;;;;;0;0
38;RD Congo;711(711.22);728;1;;;;;;;;;;;;;0;0
39;Venezuela;709(709.44);659;9;;;;;;;;;;;;;0;0
40;Australie;700(699.57);740;-3;;;;;;;;;;;;;0;0
41;Bosnie-et-Herzegovine;688(687.81);700;0;;;;;;;;;;;;;0;0
42;Maroc;681(681.12);694;0;;;;;;;;;;;;;0;0
43;Montenegro;671(670.87);675;3;;;;;;;;;;;;;0;0
44;Grece;657(656.78);685;1;;;;;;;;;;;;;0;0
45;Republique tcheque;647(646.62);690;-2;;;;;;;;;;;;;0;0
46;Egypte;636(635.72);687;-2;;;;;;;;;;;;;0;0
47;Nigeria;635(635.14);609;5;;;;;;;;;;;;;0;0
48;Jamaique;612(611.9);643;1;;;;;;;;;;;;;0;0
49;Norvege;608(608.36);578;8;;;;;;;;;;;;;0;0
50;Hongrie;604(603.77);637;0;;2;;;;;;;;;;;0;0
51;Cameroun;603(603.23);611;0;;;;;;;;;;;;;0;0
51;Ghana;603(602.95);602;3;;;;;;;;;;;;;0;0
53;Burkina Faso;591(591.35);587;3;;;;;;;;;;;;;0;0
54;Bulgarie;583(583.2);715;-14;;;;;;;;4;;;;;0;0
55;Panama;575(574.78);605;-2;;;;;;;;;;;;;0;0
56;Albanie;549(548.51);557;2;;;;;;;;;;;;;0;0
57;Bolivie;548(548.13);674;-10;;;;;;;;;;;;;0;0
58;Cap-Vert;545(545.47);539;3;;;;;;;;;;;;;0;0
59;Honduras;530(529.64);517;5;;;;;;;;;;;;;0;0
60;Japon;528(528.22);593;-5;;;;;;;;;;;;;0;0
61;Coree du Sud;520(519.75);554;-2;;;;;;4;;;;;;;0;0
62;Algerie;516(516.47);553;-2;;;;;;;;;;;;;0;0
63;Finlande;507(506.86);503;5;;;;;;;;;;;;;0;0
64;Equateur;506(506.42);508;1;;;;;;;;;;;;;0;0
65;Slovenie;495(495.37);537;-3;;;;;;;;;;;;;0;0
66;Russie;493(493.15);531;-3;;;;;;;;;;;;;0;0
67;Mali;462(462.19);506;0;;;;;;;;;;;;;0;0
68;Cote d'Ivoire;458(457.79);479;3;;;;;;;;;;;;;0;0
69;Guinee;450(449.51);484;1;;;;;;;;;;;;;0;0
70;Arabie saoudite;445(444.66);494;-1;;;;;;;;;;;;;0;0
71;Curacao;439(438.87);407;11;;;;;;;;;;;;;0;0
72;Afrique du Sud;433(432.62);440;4;;;;;;;;;;;;;0;0
73;RP Chine;431(431.19);508;-8;;;;;;;;;;;;;0;0
74;Ouganda;426(425.76);435;4;;;;;;;;;;;;;0;0
75;Republique Kirghize;424(424.06);282;40;;;;;;;;;;;;;0;0
76;Syrie;423(422.85);442;-2;;;;;;;;;;;;;0;0
77;ARY Macedoine;422(421.86);441;-2;;;;;;;;;;;;;0;0
78;Zambie;413(412.95);438;-1;;;;;;;;;;;;;0;0
79;Belarus;410(409.65);376;14;;;;;;;;;;;;;0;0
80;Canada;407(407.48);388;10;;;;;;;;;;;;;0;0
81;Emirats Arabes Unis;405(404.8);430;-2;;;;;;;;;;;;;0;0
82;Liban;404(404.1);390;5;;;;;;;;;;;;;0;0
83;Luxembourg;401(400.64);405;0;;;;;;;;;;;;;0;0
83;Palestine;401(400.56);449;-10;;;;;;;;;;;;;0;0
85;Salvador;392(392.23);390;2;;;;;;;;;;;;;0;0
86;Chypre;386(386.13);378;6;;;;;;;;;;;;;0;0
87;Oman;383(382.51);331;16;;;;;;;;;;;;;0;0
88;Ouzbekistan;381(380.96);451;-16;;;;;;;;;;;;;0;0
88;Irak;381(380.83);405;-5;;;;;;;;;;;;;0;0
90;Benin;379(378.79);427;-9;;;;;;;;;;;;;0;0
91;Congo;378(377.52);390;-4;;;;;;;;;;;;;0;0
92;Trinite-et-Tobago;374(374.41);430;-13;;;;;;;;;;;;;0;0
92;Gabon;374(373.64);371;3;;;;;;;;;;;;;0;0
94;Estonie;364(364.21);399;-8;;;;;;;;;;;;;0;0
94;Feroe (Iles);364(363.73);364;3;;;;;;;;;;;;;0;0
96;Georgie;362(361.5);332;5;;;;;;;;;;;;;0;0
97;Inde;354(354.41);339;2;;;;;;;;;;;;;0;0
98;Armenie;347(346.99);385;-7;;;;;;;;;;;;;0;0
98;Israel;347(346.94);375;-4;;;;;;;;;;;;;0;0
100;Libye;341(340.54);339;-1;;;;;;;;;;;;;0;0
101;Qatar;339(339.15);332;0;;;;;;;;;;;;;0;0
102;Sierra Leone;332(332.32);360;-4;;;;;;;;;;;;;0;0
103;Viet-Nam;331(330.7);293;10;;;;;;;;;;;;;0;0
104;Guinee-Bissau;330(329.88);368;-8;;;;;;;;;;;;;0;0
105;Mauritanie;323(323.16);322;-1;;;;;;;;;;;;;0;0
106;Mozambique;311(311.05);317;-1;;;;;;;;;;;;;0;0
107;Namibie;305(305.13);302;4;;;;;;;;;;;;;0;0
108;Haiti;302(302.4);403;-23;;;;;;;;;;;;;0;0
109;Niger;299(298.91);305;1;;;;;;;;;;;;;0;0
110;Zimbabwe;295(294.68);312;-2;;;;;;;;;;;;;0;0
111;Madagascar;293(292.63);309;-2;;;;;;;;;;;;;0;0
112;RDP Coree;292(291.72);270;7;;;;;;;;;;;;;0;0
113;Kenya;289(289.08);317;-8;;;;;;;;;;;;;0;0
113;Philippines;289(288.53);265;9;;;;;;;;;;;;;0;0
115;Republique centrafricaine;283(282.68);266;6;;;;;;;;;;;;;0;0
116;Bahrein;281(280.66);253;9;;;;;;;;;;;;;0;0
117;Jordanie;272(272.23);276;0;;;;;;;;;;;;;0;0
118;Tadjikistan;271(270.63);255;6;;;;;;;;;;;;;0;0
119;Kazakhstan;269(268.78);223;17;;;;;;;;;;;;;0;0
120;Malawi;267(267.24);264;3;;;;;;;;;;;;;0;0
121;Chinese Taipei;263(262.85);225;13;;;;;;;;;;;;;0;0
122;Thailande;253(252.65);238;7;;;;;;;;;;;;;0;0
123;Rwanda;252(252.02);296;-11;;;;;;;;;;;;;0;0
124;Antigua-et-Barbuda;251(250.86);212;15;;;;;;;;;;;;;0;0
125;Yemen;250(250.06);211;15;;;;;;;;;;;;;0;0
126;Saint-Kitts-et-Nevis;245(245.19);316;-19;;;;;;;;;;;;;0;0
126;Azerbaidjan;245(245.01);243;1;;;;;;;;;;;;;0;0
126;Soudan;245(244.6);276;-9;;;;;;;;;;;;;0;0
129;Turkmenistan;242(242.26);292;-15;;;;;;;;;;;;;0;0
129;Togo;242(241.71);241;-1;;;;;;;;;;;;;0;0
131;Swaziland;240(239.94);227;2;;;;;;;;;;;;;0;0
132;Andorre;230(230.03);232;-2;;;;;;;;;;;;;0;0
133;Nouvelle-Zelande;229(228.86);267;-13;;;;;;;;;;;;;0;0
133;Lituanie;229(228.76);182;14;;;;;;;;;;;;;0;0
135;Myanmar;227(226.56);203;7;;;;;;;;;;;;;0;0
136;Nicaragua;224(223.92);277;-20;;;;;;;;;;;;;0;0
137;Tanzanie;223(223.27);186;9;;;;;;;;;;;;;0;0
138;Angola;221(220.62);210;3;;;;;;;;;;;;;0;0
139;Lettonie;217(216.85);231;-8;;;;;;;;;;;;;0;0
